id,age,sex,ses_status,BAQ_all,Inattention,PlanningError,EMOQ_all,error_anticipation,error_strain,learning_from_errors,thinking_about_errors,crt_all,Raven_all,aot_all,sds_all,MAAS_all
273,18,Nő,5,2.83,2.4,3.25,69,21,20,11,17,2,6,61,99,41
214,20,Nő,7,2.65,1.8,3.5,69,15,14,17,23,0,4,65,109,41
12,19,Nő,8,2.34,2.67,2,60,11,12,14,23,3,4,63,84,49
318,21,Nő,8,1.7,1.4,2,53,10,12,14,17,0,2,43,114,55
262,21,Nő,8,3.23,2.2,4.25,68,20,17,15,16,1,11,65,87,34
177,20,Nő,7,1.8,1.6,2,66,16,17,14,19,3,12,64,83,42
201,20,Nő,6,1.82,1.4,2.25,54,15,9,20,10,3,9,62,83,51
179,22,Nő,8,1.68,1.6,1.75,55,16,10,11,18,3,7,66,78,55
329,21,Nő,8,1.5,1.5,1.5,59,17,13,12,17,2,7,53,90,61
136,20,Nő,6,1.35,1.2,1.5,69,19,24,10,16,1,6,50,91,49
129,22,Nő,8,1.8,1.6,2,59,12,20,11,16,1,6,54,87,36
194,20,Nő,7,3.45,2.4,4.5,52,13,21,7,11,2,12,51,83,40
222,22,Férfi,2,2.2,2.4,2,74,25,8,20,21,2,5,71,77,43
270,28,Férfi,8,1.95,1.4,2.5,66,14,19,15,18,3,6,47,80,43
95,21,Nő,8,1.9,1.8,2,67,13,15,19,20,0,9,55,114,48
205,20,Nő,7,2.85,2.2,3.5,69,17,20,9,23,2,9,61,73,51
302,21,Nő,6,2,2,2,53,12,15,10,16,0,3,59,96,46
251,20,Nő,8,1.73,1.2,2.25,69,11,19,14,25,3,8,53,72,49
31,23,Nő,7,1.68,1.6,1.75,65,16,14,16,19,2,9,52,100,62
41,22,Nő,7,1.48,1.2,1.75,65,17,13,17,18,0,4,45,93,62
93,21,Nő,8,3.38,3.75,3,76,16,17,19,24,0,4,57,80,39
44,20,Nő,7,2.38,2,2.75,65,17,17,11,20,1,3,60,82,43
316,22,Férfi,8,2.98,2.2,3.75,63,19,8,18,18,3,8,61,63,48
311,20,Nő,6,2.67,1.6,3.75,67,13,16,18,20,0,7,58,102,46
330,24,Nő,8,1.98,1.2,2.75,67,17,14,16,20,3,7,57,85,54
312,21,Nő,7,2.04,1.33,2.75,77,16,21,15,25,1,3,57,105,38
337,21,Férfi,7,3.25,3,3.5,60,11,17,19,13,3,6,49,71,49
359,20,Nő,7,2.75,2,3.5,58,13,16,12,17,3,10,50,84,43
212,20,Nő,9,1.5,1.5,1.5,74,12,24,13,25,1,3,60,92,48
269,19,Nő,7,2.12,1.5,2.75,70,16,16,19,19,1,10,53,92,62
257,24,Férfi,9,1.6,1.2,2,60,12,9,18,21,3,11,62,101,46
199,21,Nő,8,2.9,1.8,4,47,15,7,11,14,3,7,56,88,54
295,20,Nő,6,2.12,1.5,2.75,66,19,15,14,18,0,3,58,118,46
34,19,Nő,8,2.25,1.5,3,65,15,16,13,21,1,9,44,86,45
290,22,Férfi,8,1.92,1.6,2.25,54,15,11,11,17,3,9,52,91,61
196,21,Nő,6,1.65,1.8,1.5,76,20,13,19,24,1,8,61,97,44
108,21,Férfi,7,2.33,1.4,3.25,47,18,5,14,10,3,11,63,83,67
285,20,Nő,4,2.88,2.5,3.25,54,15,19,9,11,3,7,52,91,42
68,21,Nő,7,2,1,3,69,16,18,15,20,2,7,55,90,55
152,21,Férfi,7,1.62,1,2.25,73,19,14,17,23,3,9,61,105,58
202,22,Nő,6,1.7,1.4,2,67,16,20,11,20,2,10,57,96,47
187,20,Férfi,8,1.9,1.8,2,66,12,15,19,20,3,10,61,89,51
180,22,Nő,9,1.82,1.4,2.25,71,18,19,16,18,3,9,55,94,45
252,21,Nő,7,1.57,1.4,1.75,64,13,9,18,24,0,7,54,108,69
305,21,Nő,6,2.5,2,3,70,22,20,8,20,1,6,57,78,37
62,19,Nő,8,1.96,1.67,2.25,69,19,21,9,20,0,6,60,99,43
346,23,Férfi,4,1.57,1.4,1.75,56,14,10,15,17,3,12,61,79,56
178,22,Nő,6,1.73,2.2,1.25,74,19,18,16,21,2,7,59,94,49
307,20,Nő,7,1.85,1.2,2.5,47,12,9,14,12,3,6,58,91,49
358,22,Nő,9,2,2,2,68,20,20,13,15,2,8,56,94,47
314,22,Nő,7,2.15,1.8,2.5,64,16,12,17,19,3,8,64,88,52
351,21,Nő,6,3,2.25,3.75,65,21,8,20,16,1,7,66,78,47
256,21,Férfi,5,1.68,1.6,1.75,69,16,17,16,20,2,5,63,106,71
356,21,Nő,8,1.9,1.8,2,64,14,15,16,19,0,1,63,75,48
72,19,Nő,8,2.45,1.4,3.5,66,12,17,16,21,1,9,56,87,40
158,22,Nő,9,2.9,1.8,4,70,17,20,9,24,2,10,54,79,70
109,20,Nő,5,1.54,1.33,1.75,59,17,10,15,17,0,7,64,78,59
1,19,Férfi,6,2.58,1.4,3.75,75,24,23,7,21,2,9,58,99,34
322,21,Nő,5,1.88,1.5,2.25,70,17,18,16,19,0,5,53,123,55
308,21,Nő,8,2.33,1.4,3.25,59,14,9,15,21,2,8,60,97,58
35,20,Nő,6,1.32,1.4,1.25,77,20,20,13,24,2,10,52,110,48
163,21,Nő,8,2,1.5,2.5,64,15,15,11,23,2,8,56,91,48
63,23,Nő,7,2.62,2,3.25,76,18,21,17,20,2,9,53,96,48
183,22,Nő,5,3.25,2.5,4,66,12,16,18,20,3,10,63,92,40
288,22,Nő,5,2.38,2,2.75,55,10,10,18,17,2,10,48,104,47
354,19,Nő,7,3.08,2.4,3.75,76,16,22,19,19,3,8,54,48,43
208,19,Nő,4,1.57,1.4,1.75,61,12,18,11,20,2,11,71,93,48
118,22,Nő,8,1.57,1.4,1.75,60,12,14,14,20,2,10,54,105,50
185,19,Nő,6,2.46,1.67,3.25,61,8,21,10,22,1,9,52,89,55
18,22,Nő,4,3.08,2.4,3.75,69,17,16,17,19,0,4,36,74,52
258,27,Nő,7,1.55,1.6,1.5,75,17,17,18,23,1,6,59,114,44
65,19,Nő,5,1.66,1.33,2,73,18,18,16,21,0,3,55,75,53
84,20,Nő,9,1.75,2,1.5,70,17,17,16,20,0,7,46,100,45
349,21,Nő,9,2.08,1.4,2.75,54,14,10,15,15,2,7,45,86,42
162,21,Nő,5,2.05,2.6,1.5,61,11,22,8,20,1,7,54,73,53
336,26,Nő,4,2.38,2,2.75,72,19,20,16,17,2,9,58,85,53
215,20,Nő,8,1.85,1.2,2.5,73,19,17,20,17,3,9,61,90,62
4,20,Nő,4,3,3,3,73,21,22,8,22,3,8,61,105,26
133,18,Nő,10,2.33,1.4,3.25,59,13,11,18,17,0,11,54,125,64
